ID,Predicted
1,-2223.978758598947
2,1195.213683280156
3,2868.3664967207396
4,1120.827788799314
5,-337.2826873179919
6,2004.6269259764106
7,2553.141944654056
8,4358.954403133101
9,463.31019223849586
10,754.6274840436072
11,1699.9771524286286
12,3980.5948905797136
13,1862.6167041670567
14,667.1579412245558
15,-2488.100187597677
16,1240.3699906962916
17,3186.9127913611874
18,1362.7124001650911
19,-1560.0570316075505
20,-1053.6272062923413
21,-1650.0042537182774
22,392.8635168846484
23,4566.712786895635
24,1686.4852027236839
25,5315.094983114458
26,1568.0048999663745
27,5315.094983114458
28,2459.2370528877555
29,-201.2600359996251
30,-109.53360641657974
31,4173.612124191413
32,961.9917684120721
33,1557.600474270678
34,3184.899851777296
35,326.2532596795427
36,-1464.9706074101825
37,544.3112364566864
38,4865.521360173531
39,1116.7277105398493
40,-1815.7865068165333
41,1746.9466921510937
42,3972.8040310279575
43,-221.60275609537234
44,1154.8307516554335
45,-1667.7074448290173
46,-1224.7539053184596
47,-721.2539276485552
48,2029.3841222807907
49,4063.7358214526985
50,1209.6432381449379
51,2119.9616249777046
52,1089.6916558039438
53,803.5684437756355
54,2667.5704011049484
55,2159.171208212658
56,406.5680554040849
57,3543.6150107462545
58,401.47007210579494
59,-304.0809242591446
60,2204.1189869432783
61,1684.620982760966
62,1603.8994423038946
63,2091.8188744045206
64,7736.86893374348
65,2951.9401064241392
66,4724.899295710788
67,2855.459468191935
68,2821.6987892846028
69,582.8610706007373
70,3789.526921905138
71,533.1014825581212
72,3345.4694398268125
73,2375.623766586056
74,2119.206745927188
75,1727.5870160575314
76,5721.609587040306
77,763.6998587882563
78,-1776.9407165856217
79,1292.079600965989
80,2298.23612350071
81,-3057.646526506022
82,4552.959249345748
83,1610.7600398602083
84,2339.3044005606416
85,1412.390750693513
86,1166.4819126319596
87,-1957.1664660294045
88,-2713.4974561228346
89,4245.513097015267
90,-894.8582473500647
91,-2314.897660052
92,-59.88491854988399
93,-899.0610036043563
94,572.8914769914212
95,4684.676498995109
96,3001.8198181379526
97,1993.0477283189819
98,-1384.224046609851
99,100.876735112933
100,-711.3492608457058
101,3749.8204482896494
102,2321.9435644550767
103,-2350.8912543159213
104,-323.8728626885573
105,267.4745804193852
106,4213.424277476
107,4330.004559889872
108,927.8704837704375
109,2326.8033679896644
110,4177.925396815197
111,-819.4979440378122
112,973.0229309004944
113,1447.1416527730175
114,987.4474268222516
115,608.94874928566
116,4254.929115556764
117,-2013.941204415462
118,4254.929115556764
119,3875.0934408521994
120,1103.403904272319
121,-1161.0274366899905
122,-90.80686748161568
123,1478.5726501372483
124,1163.663402272644
125,3804.9337951710404
126,-1061.8700453758727
127,2941.142168082367
128,1570.2017168681084
129,367.31963035027576
130,-900.3820279723734
131,3208.5703129231124
132,544.3112364566864
133,739.6541400961821
134,3135.4234963132526
135,2156.0219627732545
136,3159.726350860269
137,1402.2359800827985
138,1125.8285477083734
139,246.68398354261194
140,3017.422923841259
141,677.457876556806
142,927.8704837704375
143,2104.4017424895796
144,401.35496269964335
145,2746.4350306464776
146,232.97146600973687
147,4465.456053000312
148,139.6026308234846
149,2270.112850456377
150,3457.3548001869176
151,1527.630574658961
152,5227.911109511757
153,4058.874265666996
154,2933.9737323461018
155,2316.839282685152
156,2190.675435816679
157,547.7590900530904
158,973.0229309004944
159,570.0874462498674
160,-1608.8619277506823
161,1029.898143438739
162,4220.156746009451
163,923.0200059811444
164,881.4676624808573
165,643.0686697202286
166,-756.526733508886
167,1042.8426101902255
168,-1734.0620845725236
169,-1680.6099799943333
170,3538.3729153658924
171,3607.9153446071446
172,-3789.0169018646866
173,-839.0302251160596
174,3663.8693215313697
175,-1976.4110024036029
176,-2181.923306875432
177,-134.7408894763625
178,631.731099764279
179,4498.106919857583
180,-411.43429946826
181,1934.1089560525716
182,2394.777654555157
183,-957.147749756043
184,1415.5757532745981
185,-1004.5471897945939
186,-115.0113499986833
187,-1071.1173241818178
188,1705.5527889960201
189,851.0698258988157
190,1712.723765443742
191,614.4388614711262
192,3724.544446364371
193,1382.8767478448299
194,3951.0360544395603
195,-2149.7087953374876
196,2278.113817891133
197,780.7836657200731
198,607.1541411592692
199,-195.62722805205786
200,551.1371204438582
201,258.19938436872553
202,-1149.145743849968
203,2111.041349351338
204,4918.9826018209005
205,-3425.1612105547238
206,-3964.178712172281
207,-501.5808905872935
208,598.647674665782
209,4097.5017466273985
210,-420.8276312811169
211,1.48880262269982
212,2721.9005847234803
213,-652.9182800551645
214,1752.7384108564543
215,2017.6297483707888
216,-944.4693462967919
217,2107.908690459224
218,-1384.224046609851
219,1761.9608073442587
220,3907.290192525211
221,473.66983220638406
222,-2143.3144316987896
223,-907.3098296240512
224,3623.338523405475
225,-834.3033531465978
226,-135.4555609708718
227,4769.011202623019
228,-823.8401819836158
229,878.8191477358524
230,4595.998993363598
231,1430.8629965571497
232,-724.8183385486229
233,1383.4340883636623
234,-806.5387856015628
235,-1364.2836711447878
236,446.9877379410817
